name;points
2025-02-04;0
2025-02-04;11
2025-02-04;1
2025-02-04;5
2025-02-04;10
2025-02-04;2
2025-02-04;2
2025-02-04;0
2025-02-04;3
2025-02-04;2
2025-02-04;0
2025-02-04;0
2025-02-04;3
2025-02-04;0
2025-02-04;4
2025-02-05;0
2025-02-05;0
2025-02-05;4
2025-02-05;2
2025-02-05;0
2025-02-05;0
2025-02-05;4
2025-02-05;0
2025-02-05;0
2025-02-05;0
2025-02-05;0
2025-02-05;0
2025-02-05;10
2025-02-05;0
2025-02-05;0
2025-02-05;5
2025-02-05;0
2025-02-05;2
2025-02-05;10
2025-02-05;6
2025-02-05;0
2025-02-05;0
2025-02-05;16
2025-02-05;4
2025-02-05;0
2025-02-05;0
2025-02-05;0
2025-02-05;8
2025-02-05;0
2025-02-05;0
2025-02-05;1
2025-02-05;1
2025-02-05;0
2025-02-06;1
2025-02-06;12
2025-02-06;2
2025-02-06;2
2025-02-06;8
2025-02-06;4
2025-02-06;8
2025-02-06;2
2025-02-06;2
2025-02-06;4
2025-02-06;6
2025-02-06;2
2025-02-06;0
2025-02-06;20
2025-02-06;10
2025-02-06;0
2025-02-06;8
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;2
2025-02-06;50
2025-02-06;4
2025-02-06;2
2025-02-06;6
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;4
2025-02-06;2
2025-02-06;0
2025-02-06;6
2025-02-06;0
2025-02-06;9
2025-02-06;5
2025-02-06;2
2025-02-06;2
2025-02-06;11
2025-02-06;8
2025-02-06;2
2025-02-06;4
2025-02-06;4
2025-02-06;12
2025-02-06;0
2025-02-06;0
2025-02-06;2
2025-02-06;2
2025-02-06;4
2025-02-06;8
2025-02-06;12
2025-02-06;0
2025-02-06;0
2025-02-06;7
2025-02-06;2
2025-02-06;9
2025-02-06;0
2025-02-06;17
2025-02-06;5
2025-02-06;3
2025-02-06;3
2025-02-06;6
2025-02-06;0
2025-02-06;10
2025-02-06;0
2025-02-06;0
2025-02-06;3
2025-02-06;11
2025-02-06;4
2025-02-06;27
2025-02-06;7
2025-02-06;13
2025-02-06;15
2025-02-06;0
2025-02-06;3
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;2
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;0
2025-02-06;6
2025-02-06;0
2025-02-06;0
2025-02-06;2
2025-02-06;0
2025-02-07;0
2025-02-07;2
2025-02-07;14
2025-02-07;16
2025-02-07;5
2025-02-07;2
2025-02-07;7
2025-02-07;0
2025-02-07;4
2025-02-07;0
2025-02-07;0
2025-02-07;0
2025-02-07;0
2025-02-07;10
2025-02-07;7
2025-02-07;1
2025-02-07;0
2025-02-07;2
2025-02-07;3
2025-02-07;1
2025-02-07;3
2025-02-07;0
2025-02-07;2
2025-02-07;0
2025-02-07;2
2025-02-07;0
2025-02-07;0
2025-02-07;4
2025-02-07;0
2025-02-07;0
2025-02-07;2
2025-02-07;0
2025-02-07;4
2025-02-07;4
2025-02-07;0
2025-02-07;0
2025-02-07;26
2025-02-07;0
2025-02-07;0
2025-02-07;1
2025-02-07;9
2025-02-07;2
2025-02-07;2
2025-02-07;0
2025-02-07;0
2025-02-07;0
2025-02-07;2
2025-02-07;8
2025-02-07;9
2025-02-07;3
